設定,模型標籤,應變數,變數,係數,標準誤,t值,p值,N,R2_within
S2-擴充樣本 | W1-水回收率,[S2-擴充樣本 | W1-水回收率] 模型2 | Y=Tobins Q_w,Tobins_Q_w,水回收率%,0.0018158161970888505,0.0031254849547207005,0.5809710247832933,0.5618466769840322,359,0.015300344652231956
S2-擴充樣本 | W1-水回收率,[S2-擴充樣本 | W1-水回收率] 模型2 | Y=Tobins Q_w,Tobins_Q_w,再生能源使用率,-0.0028406979792366806,0.0014834176727118462,-1.9149684080840028,0.056776019420140544,359,0.015300344652231956
S2-擴充樣本 | W1-水回收率,[S2-擴充樣本 | W1-水回收率] 模型2 | Y=Tobins Q_w,Tobins_Q_w,水回收率x再生能源,0.000911953855836896,0.00023004690502529277,3.9642083241095123,9.918681514831107e-05,359,0.015300344652231956
S2-擴充樣本 | W1-水回收率,[S2-擴充樣本 | W1-水回收率] 模型2 | Y=Tobins Q_w,Tobins_Q_w,研究發展費用率,-0.05220940190954432,0.02859011020515079,-1.8261350353290446,0.06916709563404089,359,0.015300344652231956
S2-擴充樣本 | W1-水回收率,[S2-擴充樣本 | W1-水回收率] 模型2 | Y=Tobins Q_w,Tobins_Q_w,LN資產總額,-0.3544430516995912,0.2462961992240064,-1.4390926567942093,0.151526405997634,359,0.015300344652231956
S2-擴充樣本 | W1-水回收率,[S2-擴充樣本 | W1-水回收率] 模型2 | Y=Tobins Q_w,Tobins_Q_w,負債比率,0.0067428038618073125,0.005986856953539284,1.126267741844263,0.26126276748887634,359,0.015300344652231956
S2-擴充樣本 | W1-水回收率,[S2-擴充樣本 | W1-水回收率] 模型1 | Y=營業費用率,營業費用率,水回收率%,0.009058522668072813,0.021248958888420138,0.42630430580810047,0.6702954998452979,359,0.6106013887122423
S2-擴充樣本 | W1-水回收率,[S2-擴充樣本 | W1-水回收率] 模型1 | Y=營業費用率,營業費用率,再生能源使用率,0.013182997510137979,0.011880218121328624,1.109659551323428,0.26833560809522483,359,0.6106013887122423
S2-擴充樣本 | W1-水回收率,[S2-擴充樣本 | W1-水回收率] 模型1 | Y=營業費用率,營業費用率,研究發展費用率,1.5719320282759066,0.13985647742453797,11.239608327215809,0.0,359,0.6106013887122423
S2-擴充樣本 | W1-水回收率,[S2-擴充樣本 | W1-水回收率] 模型1 | Y=營業費用率,營業費用率,LN資產總額,-1.3353189673496717,1.0027034752485617,-1.3317186988093936,0.1843061581832186,359,0.6106013887122423
S2-擴充樣本 | W1-水回收率,[S2-擴充樣本 | W1-水回收率] 模型1 | Y=營業費用率,營業費用率,負債比率,0.04254075792679493,0.03002620396836728,1.4167877488480323,0.15793423385927285,359,0.6106013887122423
S2-擴充樣本 | W1-水回收率,[S2-擴充樣本 | W1-水回收率] 模型2 | Y=營業費用率,營業費用率,水回收率%,0.008444480785794265,0.021189424221111322,0.3985233717384784,0.6906257448134929,359,0.6125293327046062
S2-擴充樣本 | W1-水回收率,[S2-擴充樣本 | W1-水回收率] 模型2 | Y=營業費用率,營業費用率,再生能源使用率,0.03497498275674145,0.00847259776291982,4.128011707319432,5.17135835460536e-05,359,0.6125293327046062
S2-擴充樣本 | W1-水回收率,[S2-擴充樣本 | W1-水回收率] 模型2 | Y=營業費用率,營業費用率,水回收率x再生能源,-0.0033782278083523253,0.0012654392225710275,-2.669608897919797,0.008152662468750238,359,0.6125293327046062
S2-擴充樣本 | W1-水回收率,[S2-擴充樣本 | W1-水回收率] 模型2 | Y=營業費用率,營業費用率,研究發展費用率,1.5755539840887818,0.14028107718006702,11.231407797549029,0.0,359,0.6125293327046062
S2-擴充樣本 | W1-水回收率,[S2-擴充樣本 | W1-水回收率] 模型2 | Y=營業費用率,營業費用率,LN資產總額,-1.3476033374022194,1.0072887504929777,-1.337852067485801,0.1823073735224392,359,0.6125293327046062
S2-擴充樣本 | W1-水回收率,[S2-擴充樣本 | W1-水回收率] 模型2 | Y=營業費用率,營業費用率,負債比率,0.04287620416510064,0.02994562580039838,1.4318019082616815,0.15360060192026337,359,0.6125293327046062
