模型,應變數,變數,係數,標準誤,t值,p值,N,R2_within
模型3-遞延期 t+5 | Y=Tobins Q_w(t+5),Tobins_Q_w_tplus5,水電設備CAPEX新增額_w,-4.325523231527497e-05,4.0569983854902615e-05,-1.0661880583925316,0.28893190852950035,168,-0.01931529038752422
模型3-遞延期 t+5 | Y=Tobins Q_w(t+5),Tobins_Q_w_tplus5,水回收率%,-0.004415329042950303,0.011122825733514037,-0.3969610914290003,0.6922506197176683,168,-0.01931529038752422
模型3-遞延期 t+5 | Y=Tobins Q_w(t+5),Tobins_Q_w_tplus5,研究發展費用率,-0.00923249309282826,0.07259260306041485,-0.12718228446973534,0.899054094577356,168,-0.01931529038752422
模型3-遞延期 t+5 | Y=Tobins Q_w(t+5),Tobins_Q_w_tplus5,LN資產總額,-0.30975839447565373,0.40333008061790776,-0.7680022129792531,0.44431388634385716,168,-0.01931529038752422
模型3-遞延期 t+5 | Y=Tobins Q_w(t+5),Tobins_Q_w_tplus5,負債比率,0.006331350986172064,0.02191184437207733,0.28894651124120896,0.773226490136449,168,-0.01931529038752422
模型3-遞延期 t+1 | Y=營業費用率(t+1),營業費用率_tplus1,水電設備CAPEX新增額_w,-6.999949907570716e-05,0.0001220954693378677,-0.5733177443464474,0.5675588066029178,195,0.33906617052575616
模型3-遞延期 t+1 | Y=營業費用率(t+1),營業費用率_tplus1,水回收率%,-0.015374202872923489,0.0197381585760136,-0.7789076581645604,0.437647967983233,195,0.33906617052575616
模型3-遞延期 t+1 | Y=營業費用率(t+1),營業費用率_tplus1,再生能源使用率,-0.004032118170425423,0.03006432822776398,-0.1341163567626906,0.893547051891002,195,0.33906617052575616
模型3-遞延期 t+1 | Y=營業費用率(t+1),營業費用率_tplus1,研究發展費用率,0.9525903968158226,0.39557118192994767,2.408139016012846,0.01763750405659792,195,0.33906617052575616
模型3-遞延期 t+1 | Y=營業費用率(t+1),營業費用率_tplus1,LN資產總額,0.5856241853867017,0.8769899032575184,0.6677661660772161,0.505632485872884,195,0.33906617052575616
模型3-遞延期 t+1 | Y=營業費用率(t+1),營業費用率_tplus1,負債比率,-0.07733481398449038,0.0484599498371496,-1.5958500626677328,0.11329080938844394,195,0.33906617052575616
模型3-遞延期 t+3 | Y=營業費用率(t+3),營業費用率_tplus3,水電設備CAPEX新增額_w,0.00014173846155077845,8.334585004795783e-05,1.7006061065934426,0.09200546679483224,181,0.050152969253056234
模型3-遞延期 t+3 | Y=營業費用率(t+3),營業費用率_tplus3,水回收率%,0.011964568797686793,0.030400368491028937,0.39356657144526075,0.6947067669195364,181,0.050152969253056234
模型3-遞延期 t+3 | Y=營業費用率(t+3),營業費用率_tplus3,再生能源使用率,-0.01239971419082303,0.01127462063728067,-1.0997899255095223,0.273962919929178,181,0.050152969253056234
模型3-遞延期 t+3 | Y=營業費用率(t+3),營業費用率_tplus3,研究發展費用率,0.40652503506932697,0.5366879934484264,0.7574699639864263,0.4504811868850993,181,0.050152969253056234
模型3-遞延期 t+3 | Y=營業費用率(t+3),營業費用率_tplus3,LN資產總額,1.1901243336135452,1.5891971096034019,0.7488840285586419,0.4556175336685582,181,0.050152969253056234
模型3-遞延期 t+3 | Y=營業費用率(t+3),營業費用率_tplus3,負債比率,-0.05184500769619718,0.0884931620657849,-0.5858645627066206,0.5592358101091786,181,0.050152969253056234
模型3-遞延期 t+5 | Y=營業費用率(t+5),營業費用率_tplus5,水電設備CAPEX新增額_w,8.921567189298108e-05,0.0001685767636459508,0.5292287618022736,0.5978314544666707,168,0.06272686684681494
模型3-遞延期 t+5 | Y=營業費用率(t+5),營業費用率_tplus5,水回收率%,-0.015879117245293523,0.036329337748669956,-0.43708799084494376,0.6629994723460064,168,0.06272686684681494
模型3-遞延期 t+5 | Y=營業費用率(t+5),營業費用率_tplus5,研究發展費用率,0.42006305053679915,0.3993399451830311,1.0518933945971018,0.29540923245498285,168,0.06272686684681494
模型3-遞延期 t+5 | Y=營業費用率(t+5),營業費用率_tplus5,LN資產總額,2.948483265541751,1.5011858628446535,1.964102739386687,0.052322341335266476,168,0.06272686684681494
模型3-遞延期 t+5 | Y=營業費用率(t+5),營業費用率_tplus5,負債比率,-0.023255783141465834,0.10089509406626708,-0.23049468714694515,0.8181830257112963,168,0.06272686684681494
